state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,policy_type,vehicle_class,total_claim_amount
4470,northeast,m,high school or below,5191,86451,65,0.0,personal auto,two-door car,8
4471,central,m,bachelor,3572,56768,92,0.0,personal auto,two-door car,442
4472,east,f,high school or below,4869,55593,61,0.0,personal auto,four-door car,9
4473,central,f,bachelor,10396,37707,95,0.0,personal auto,four-door car,338
4474,northeast,f,bachelor,5298,66203,66,0.0,personal auto,four-door car,131
4475,east,f,high school or below,8751,25806,110,0.0,personal auto,four-door car,528
4476,west,f,bachelor,14942,22978,190,0.0,personal auto,luxury car,912
4478,central,f,college,10111,96506,124,0.0,corporate auto,suv,505
4479,northeast,m,high school or below,6460,23235,82,0.0,personal auto,four-door car,483
4480,central,m,bachelor,2769,40506,70,0.0,personal auto,four-door car,114
4481,west,m,high school or below,6779,37707,96,0.0,personal auto,four-door car,461
4482,northeast,m,bachelor,4493,37707,65,0.0,personal auto,two-door car,312
4483,west,f,high school or below,5733,79955,71,0.0,personal auto,four-door car,143
4484,central,m,college,3231,62873,81,0.0,corporate auto,four-door car,208
4485,west,f,master,6314,66947,78,0.0,personal auto,four-door car,374
4486,east,m,college,6014,25646,83,1.0,personal auto,four-door car,378
4487,central,f,college,2180,37707,64,0.0,personal auto,four-door car,461
4489,northeast,m,high school or below,5569,37707,79,1.0,personal auto,two-door car,407
4490,central,f,college,51426,84650,185,3.0,personal auto,luxury car,660
4491,central,f,high school or below,8080,13050,102,0.0,personal auto,suv,734
4492,central,m,college,2675,56342,69,0.0,personal auto,four-door car,331
4493,northeast,m,bachelor,12422,58781,106,0.0,personal auto,suv,502
4494,west,m,high school or below,2311,37707,68,0.0,personal auto,four-door car,490
4495,central,m,bachelor,10256,37707,102,0.0,personal auto,sports car,734
4497,east,f,college,2963,71809,74,0.0,corporate auto,four-door car,78
4498,central,m,bachelor,5765,40238,73,1.0,personal auto,four-door car,350
4499,west,m,bachelor,4700,37707,70,0.0,personal auto,four-door car,504
4501,central,f,college,5384,30514,72,2.0,personal auto,four-door car,154
4502,west,f,bachelor,7506,44485,62,0.0,special auto,four-door car,80
4503,central,m,high school or below,10551,50941,69,0.0,personal auto,four-door car,331
4504,central,m,college,25900,53105,110,0.0,corporate auto,suv,365
4505,west,f,master,51016,25167,140,0.0,personal auto,suv,422
4506,east,m,college,3575,30244,92,0.0,personal auto,four-door car,383
4507,west,f,college,11639,25370,102,0.0,corporate auto,sports car,490
4508,northeast,m,master,14050,37707,73,1.0,corporate auto,four-door car,350
4509,central,m,high school or below,2380,69202,61,0.0,personal auto,two-door car,293
4510,northeast,f,master,5460,31530,69,1.0,personal auto,two-door car,331
4511,west,f,college,6270,61040,78,0.0,personal auto,two-door car,392
4512,central,f,bachelor,8710,85185,107,0.0,corporate auto,suv,167
4513,central,f,master,5025,78772,62,0.0,personal auto,four-door car,86
4514,west,m,college,12515,37707,63,0.0,special auto,two-door car,578
4515,northeast,m,master,22326,99241,70,0.0,corporate auto,four-door car,48
4516,central,f,bachelor,3059,37707,83,0.0,personal auto,two-door car,197
4517,central,f,college,6699,21114,180,0.0,personal auto,luxury car,864
4518,central,m,master,5480,56005,68,1.0,corporate auto,four-door car,326
4520,central,m,high school or below,58207,29295,219,0.0,personal auto,luxury suv,1329
4521,central,m,high school or below,3430,54339,86,0.0,personal auto,four-door car,10
4523,central,f,college,5964,98078,73,0.0,personal auto,four-door car,419
4524,central,m,college,2606,20592,71,1.0,personal auto,two-door car,195
4525,northeast,m,high school or below,4758,72805,62,4.0,corporate auto,four-door car,365
4526,east,f,high school or below,5154,55645,129,0.0,personal auto,suv,619
4527,west,m,high school or below,2805,98859,70,0.0,personal auto,four-door car,504
4528,northeast,f,high school or below,4250,37707,61,1.0,corporate auto,four-door car,293
4529,northeast,m,college,7248,23541,62,0.0,personal auto,two-door car,99
4530,west,m,bachelor,5009,37707,73,0.0,corporate auto,two-door car,350
4531,central,f,bachelor,5822,60087,74,0.0,special auto,four-door car,355
4532,central,m,college,18898,37707,132,0.0,personal auto,suv,1405
4533,central,f,college,4757,48938,121,0.0,personal auto,suv,581
4534,west,f,bachelor,8084,31506,102,0.0,personal auto,four-door car,601
4535,west,m,bachelor,7417,67454,185,0.0,personal auto,luxury car,1332
4536,central,m,bachelor,2539,18608,71,0.0,personal auto,four-door car,341
4537,east,f,doctor,2433,28519,61,0.0,personal auto,four-door car,112
4538,central,f,master,4171,29462,107,1.0,personal auto,suv,514
4539,northeast,m,high school or below,2490,37707,74,0.0,corporate auto,four-door car,533
4540,central,f,bachelor,3759,58300,94,0.0,personal auto,four-door car,24
4541,northeast,m,college,42389,82554,132,0.0,personal auto,sports car,155
4542,west,f,high school or below,29830,37707,102,0.0,personal auto,sports car,490
4543,west,m,college,26135,37707,111,0.0,personal auto,sports car,673
4544,central,m,bachelor,2454,29735,69,0.0,personal auto,four-door car,331
4545,central,f,bachelor,2856,50738,71,0.0,personal auto,four-door car,344
4546,northeast,f,high school or below,5772,65709,72,0.0,corporate auto,four-door car,13
4547,west,m,college,8099,37707,123,0.0,personal auto,suv,886
4548,central,m,high school or below,3433,37707,95,0.0,personal auto,four-door car,456
4549,central,f,bachelor,9408,37707,85,0.0,corporate auto,four-door car,408
4550,west,f,bachelor,5596,19651,72,0.0,personal auto,two-door car,346
4551,east,m,high school or below,7261,37707,72,0.0,personal auto,four-door car,744
4552,central,f,college,13438,69693,112,1.0,special auto,sports car,538
4553,central,f,high school or below,7324,37707,104,0.0,special auto,suv,1114
4554,west,f,college,2358,37707,65,1.0,personal auto,four-door car,295
4555,central,f,college,2671,45525,66,0.0,personal auto,two-door car,317
4556,northeast,f,bachelor,2939,96765,72,0.0,personal auto,two-door car,216
4557,northeast,m,college,4911,32903,64,3.0,personal auto,four-door car,98
4559,west,f,high school or below,4757,67486,118,0.0,personal auto,two-door car,529
4560,central,f,college,2927,92381,72,0.0,special auto,four-door car,235
4562,northeast,f,doctor,9929,75716,247,0.0,personal auto,luxury car,562
4563,west,f,high school or below,10090,63657,128,0.0,corporate auto,sports car,614
4564,central,m,doctor,5073,57709,125,0.0,personal auto,suv,600
4565,northeast,f,master,16302,19614,85,0.0,personal auto,two-door car,574
4566,west,m,high school or below,3360,75216,84,1.0,corporate auto,four-door car,66
4567,central,m,college,7907,24666,101,0.0,personal auto,sports car,152
4568,central,f,high school or below,28328,20799,111,0.0,personal auto,sports car,389
4569,west,m,college,4468,37707,64,0.0,corporate auto,four-door car,307
4571,northeast,m,bachelor,5364,53562,135,0.0,personal auto,suv,590
4572,central,f,college,2707,22664,73,0.0,personal auto,two-door car,350
4573,central,m,high school or below,6168,27289,158,2.0,personal auto,sports car,758
4574,central,f,master,2476,54831,61,0.0,personal auto,four-door car,136
4575,west,f,high school or below,3057,78310,76,0.0,personal auto,four-door car,365
4577,northeast,m,high school or below,6744,37707,90,0.0,personal auto,four-door car,548
4578,central,f,master,15740,48096,131,0.0,personal auto,sports car,450
4579,central,f,high school or below,7154,59522,89,0.0,corporate auto,four-door car,427
4580,east,m,high school or below,8263,37707,79,1.0,corporate auto,two-door car,46
4581,west,m,bachelor,3143,43285,83,0.0,corporate auto,two-door car,266
4582,west,m,college,2692,33104,70,1.0,personal auto,two-door car,336
4583,central,m,college,2501,56172,64,0.0,personal auto,four-door car,307
4584,northeast,m,master,3729,83632,94,4.0,personal auto,four-door car,217
4585,central,f,bachelor,2937,37707,81,0.0,personal auto,two-door car,389
4586,west,m,bachelor,10392,81439,90,1.0,personal auto,two-door car,108
4587,west,f,college,2994,55911,74,0.0,personal auto,four-door car,188
4588,northeast,m,bachelor,14204,90456,71,0.0,personal auto,four-door car,165
4589,central,f,bachelor,4491,37707,64,0.0,personal auto,two-door car,254
4590,east,m,high school or below,10964,55687,276,0.0,personal auto,luxury suv,1325
4592,northeast,m,high school or below,4943,82093,62,0.0,personal auto,four-door car,267
4593,central,m,high school or below,6219,51944,156,0.0,corporate auto,sports car,749
4594,central,m,college,6156,78824,77,0.0,personal auto,four-door car,268
4595,west,m,bachelor,21424,37707,65,0.0,special auto,two-door car,312
4596,west,m,college,5927,23091,96,5.0,personal auto,four-door car,461
4597,northeast,f,college,10295,24723,129,0.0,corporate auto,sports car,619
4598,central,m,bachelor,2711,31998,69,0.0,corporate auto,four-door car,331
4599,west,f,college,3363,80138,83,0.0,personal auto,four-door car,209
4600,west,m,college,3123,72916,80,0.0,personal auto,two-door car,384
4601,east,f,high school or below,6221,37707,65,2.0,corporate auto,four-door car,468
4602,west,f,high school or below,3455,37707,91,0.0,personal auto,four-door car,681
4603,west,f,bachelor,11855,37707,170,0.0,corporate auto,suv,1227
4604,west,m,bachelor,7164,44527,94,2.0,personal auto,four-door car,287
4605,northeast,m,bachelor,3158,46655,82,0.0,personal auto,four-door car,337
4606,west,m,bachelor,8336,37707,67,2.0,personal auto,two-door car,445
4607,central,f,high school or below,5809,26975,73,0.0,personal auto,two-door car,548
4608,northeast,f,master,10016,62900,62,0.0,personal auto,two-door car,84
4609,west,f,bachelor,4915,14232,64,0.0,personal auto,four-door car,307
4610,east,f,bachelor,2751,34200,70,0.0,corporate auto,four-door car,167
4611,west,f,bachelor,5677,37707,77,0.0,personal auto,four-door car,370
4612,west,m,college,2393,22981,69,0.0,personal auto,four-door car,17
4613,northeast,f,college,8127,14616,107,0.0,personal auto,suv,514
4614,west,f,master,2775,37707,74,0.0,personal auto,four-door car,355
4615,northeast,f,high school or below,4301,88590,107,0.0,personal auto,two-door car,42
4616,east,f,high school or below,5221,60445,65,0.0,personal auto,four-door car,279
4617,central,f,high school or below,12384,40602,105,0.0,personal auto,sports car,460
4618,northeast,f,college,7681,66795,64,0.0,personal auto,four-door car,238
4621,central,f,master,4625,28264,61,4.0,corporate auto,four-door car,168
4622,central,f,bachelor,27790,33806,89,0.0,special auto,four-door car,396
4623,west,m,high school or below,7346,79980,91,0.0,personal auto,two-door car,630
4624,northeast,f,high school or below,5324,64706,135,0.0,corporate auto,suv,77
4625,central,f,college,4426,29660,112,0.0,personal auto,suv,334
4626,northeast,f,bachelor,6852,26313,87,0.0,corporate auto,two-door car,418
4627,northeast,m,bachelor,3534,19861,93,0.0,corporate auto,four-door car,446
4629,northeast,f,college,29677,33992,194,1.0,personal auto,suv,931
4630,central,f,bachelor,24239,37707,109,2.0,personal auto,suv,785
4632,central,m,college,13559,98036,113,0.0,personal auto,suv,662
4633,west,f,college,4283,40864,109,1.0,personal auto,suv,167
4634,west,f,bachelor,9145,21150,116,0.0,personal auto,suv,833
4635,west,f,college,7434,49057,63,0.0,personal auto,two-door car,30
4636,west,f,high school or below,6159,97658,76,1.0,personal auto,four-door car,365
4637,west,m,bachelor,3883,37707,109,0.0,personal auto,suv,766
4638,northeast,f,bachelor,10623,25634,67,0.0,personal auto,four-door car,145
4639,west,m,high school or below,5257,56154,67,0.0,personal auto,two-door car,386
4640,central,m,bachelor,4881,90892,61,0.0,personal auto,two-door car,102
4642,northeast,m,doctor,5334,72960,68,1.0,personal auto,four-door car,144
4643,west,f,high school or below,4965,37707,73,1.0,personal auto,two-door car,526
4644,northeast,f,bachelor,5470,54507,138,0.0,corporate auto,suv,703
4645,central,f,college,3714,81190,92,0.0,corporate auto,two-door car,357
4646,northeast,f,college,2895,28204,73,0.0,personal auto,four-door car,487
4647,northeast,m,high school or below,1941,37707,66,3.0,personal auto,two-door car,475
4648,west,f,master,2647,26441,66,0.0,corporate auto,two-door car,211
4649,northeast,f,bachelor,5462,42650,69,0.0,personal auto,four-door car,36
4650,east,m,high school or below,2662,29195,68,0.0,personal auto,two-door car,448
4651,central,f,high school or below,2397,22283,65,0.0,special auto,four-door car,572
4652,central,m,college,4568,15383,61,0.0,corporate auto,two-door car,293
4653,west,m,bachelor,5535,16101,74,0.0,personal auto,four-door car,438
4655,central,f,bachelor,10657,72540,88,0.0,personal auto,two-door car,632
4656,east,f,bachelor,13798,42780,181,2.0,personal auto,luxury suv,869
4657,east,f,bachelor,18060,57882,115,0.0,corporate auto,suv,552
4658,central,f,college,2690,60060,67,0.0,personal auto,four-door car,321
4659,west,m,college,7409,61160,96,0.0,corporate auto,two-door car,355
4660,northeast,f,college,4992,93416,62,0.0,personal auto,two-door car,246
4661,central,f,college,4434,83220,110,0.0,personal auto,four-door car,528
4662,northeast,m,high school or below,14749,31226,93,0.0,personal auto,four-door car,446
4663,west,f,high school or below,4916,66982,121,0.0,corporate auto,suv,871
4664,northeast,m,bachelor,12496,37707,61,0.0,corporate auto,two-door car,293
4665,central,m,bachelor,12878,37707,117,0.0,personal auto,four-door car,562
4666,east,m,doctor,6776,27354,86,1.0,personal auto,two-door car,413
4667,east,m,doctor,7541,61726,96,2.0,personal auto,two-door car,690
4669,west,m,college,9171,60433,77,0.0,personal auto,four-door car,370
4670,west,m,bachelor,21529,11538,82,0.0,corporate auto,four-door car,394
4671,central,m,high school or below,2676,67837,69,4.0,personal auto,four-door car,430
4672,west,f,bachelor,9246,40032,118,2.0,personal auto,suv,718
4673,east,m,master,4861,41126,61,0.0,corporate auto,four-door car,199
4674,west,m,college,2471,65176,62,0.0,personal auto,four-door car,298
4675,northeast,f,bachelor,2761,34717,70,2.0,special auto,four-door car,336
4676,west,m,college,4270,37707,122,0.0,personal auto,suv,726
4677,central,f,high school or below,3136,37707,89,0.0,personal auto,four-door car,641
4678,west,m,master,7755,37707,110,0.0,personal auto,four-door car,528
4679,east,f,bachelor,4928,37707,67,0.0,personal auto,two-door car,132
4680,northeast,m,bachelor,6662,37707,95,0.0,personal auto,four-door car,456
4681,west,m,high school or below,6530,44379,83,1.0,special auto,four-door car,398
4682,northeast,f,college,3293,37707,94,0.0,corporate auto,four-door car,677
4683,central,m,high school or below,5155,82730,127,0.0,corporate auto,suv,443
4684,east,f,high school or below,5597,37995,139,0.0,personal auto,suv,667
4685,west,f,bachelor,20767,37707,73,2.0,personal auto,two-door car,350
4686,northeast,f,doctor,5423,85018,68,3.0,personal auto,four-door car,63
4687,northeast,m,bachelor,5553,37707,89,1.0,personal auto,two-door car,641
4688,west,f,bachelor,5504,37707,73,0.0,corporate auto,four-door car,350
4689,west,m,high school or below,12664,72109,105,0.0,personal auto,sports car,504
4690,central,m,bachelor,5548,67798,69,0.0,personal auto,four-door car,331
4691,east,f,high school or below,4390,37707,118,1.0,personal auto,suv,671
4692,northeast,f,bachelor,2605,37707,74,0.0,corporate auto,four-door car,533
4693,northeast,m,college,2919,80714,72,0.0,personal auto,four-door car,346
4694,west,m,high school or below,2488,38667,63,0.0,personal auto,four-door car,293
4695,northeast,f,bachelor,9083,34430,117,0.0,personal auto,four-door car,233
4696,northeast,f,high school or below,5558,83576,69,0.0,personal auto,two-door car,331
4697,central,f,bachelor,5107,35625,65,1.0,personal auto,four-door car,289
4698,east,f,college,5570,85718,139,1.0,personal auto,sports car,540
4700,central,m,college,11244,66146,96,0.0,personal auto,two-door car,251
4701,northeast,m,high school or below,6114,37707,88,0.0,personal auto,four-door car,1035
4702,west,f,bachelor,5271,13215,74,1.0,corporate auto,four-door car,444
4703,northeast,m,high school or below,2747,62302,70,0.0,personal auto,four-door car,504
4704,central,f,high school or below,4730,37707,124,0.0,corporate auto,sports car,631
4706,central,m,bachelor,3106,22076,85,0.0,personal auto,four-door car,423
4707,central,m,bachelor,5860,94527,73,0.0,personal auto,four-door car,41
4708,central,f,high school or below,9036,34337,113,0.0,personal auto,four-door car,542
4709,central,f,master,7257,29053,181,0.0,personal auto,sports car,405
4710,northeast,f,high school or below,14429,37707,68,0.0,personal auto,two-door car,326
4711,northeast,f,college,2788,62506,69,0.0,personal auto,two-door car,331
4712,west,f,bachelor,4845,37707,65,0.0,personal auto,two-door car,129
4713,central,m,bachelor,5460,45404,70,2.0,corporate auto,two-door car,266
4714,west,m,bachelor,26512,28773,229,0.0,personal auto,luxury car,1099
4715,central,f,college,3141,24019,79,0.0,personal auto,four-door car,47
4716,central,f,bachelor,2545,37707,71,0.0,special auto,four-door car,341
4717,central,f,college,8356,23666,104,0.0,personal auto,suv,499
4718,northeast,m,bachelor,3837,36794,99,0.0,personal auto,four-door car,713
4719,northeast,f,bachelor,2535,25163,67,0.0,corporate auto,two-door car,322
4720,central,m,doctor,5762,66156,72,0.0,personal auto,four-door car,346
4721,west,f,bachelor,15937,37707,76,0.0,personal auto,four-door car,365
4722,central,m,high school or below,12553,10147,67,0.0,personal auto,four-door car,459
4723,central,f,college,2352,37707,64,0.0,corporate auto,four-door car,381
4724,northeast,f,college,4936,95765,61,0.0,personal auto,four-door car,352
4725,northeast,f,college,5356,60752,67,0.0,personal auto,four-door car,414
4726,northeast,m,high school or below,3740,37707,104,1.0,personal auto,suv,499
4727,west,f,college,2489,31058,67,5.0,personal auto,two-door car,309
4728,west,m,high school or below,7188,13542,94,0.0,personal auto,four-door car,451
4729,central,f,bachelor,35022,25270,99,0.0,personal auto,two-door car,713
4730,central,f,bachelor,2662,24152,72,2.0,personal auto,four-door car,346
4731,east,f,college,12201,60282,102,0.0,corporate auto,suv,120
4732,west,f,high school or below,29007,40252,104,0.0,personal auto,sports car,499
4734,west,m,high school or below,2472,95697,61,0.0,corporate auto,two-door car,114
4735,west,m,bachelor,2689,89771,67,2.0,personal auto,two-door car,104
4736,west,m,master,2551,79751,63,0.0,personal auto,two-door car,392
4737,northeast,f,high school or below,4950,37707,69,0.0,corporate auto,four-door car,331
4738,west,f,high school or below,6144,45032,77,0.0,personal auto,four-door car,37
4739,central,m,master,8837,62277,113,0.0,corporate auto,suv,250
4740,northeast,f,bachelor,9517,37707,87,0.0,personal auto,four-door car,418
4741,central,f,bachelor,2880,40525,73,0.0,personal auto,four-door car,124
4742,northeast,f,high school or below,2805,26004,70,0.0,personal auto,four-door car,336
4743,west,f,college,6046,82399,77,3.0,personal auto,four-door car,32
4744,central,f,bachelor,5246,28909,66,0.0,personal auto,two-door car,457
4745,west,m,high school or below,4773,15323,128,0.0,personal auto,suv,614
4746,east,f,college,3868,79628,98,0.0,personal auto,four-door car,470
4747,northeast,f,high school or below,3383,37707,97,0.0,corporate auto,two-door car,698
4748,central,m,college,9521,27769,121,0.0,special auto,suv,123
4749,west,m,bachelor,7615,16707,102,0.0,special auto,four-door car,1107
4750,central,f,college,11308,37707,66,0.0,personal auto,four-door car,317
4751,west,f,bachelor,3351,94395,83,0.0,personal auto,four-door car,583
4752,west,m,bachelor,2683,84895,67,0.0,corporate auto,two-door car,322
4753,central,m,master,42562,66661,119,0.0,personal auto,suv,571
4754,central,m,high school or below,2087,37707,62,0.0,personal auto,two-door car,446
4755,central,f,high school or below,4869,31447,121,0.0,personal auto,suv,581
4756,east,f,college,5021,61987,125,0.0,personal auto,suv,723
4757,northeast,f,college,3672,42460,91,0.0,personal auto,two-door car,347
4758,northeast,m,college,5253,12811,150,2.0,corporate auto,suv,720
4759,northeast,m,bachelor,12037,44428,104,0.0,corporate auto,suv,499
4760,central,f,college,3509,37707,97,0.0,personal auto,four-door car,698
4761,central,m,college,3818,25221,103,5.0,special auto,four-door car,616
4762,northeast,f,bachelor,2570,44940,65,0.0,corporate auto,four-door car,284
4763,northeast,f,college,2846,39192,71,0.0,corporate auto,four-door car,353
4764,west,m,high school or below,7292,37707,68,0.0,personal auto,two-door car,416
4765,west,f,college,10581,42513,133,0.0,corporate auto,sports car,628
4766,northeast,m,high school or below,23144,59821,193,0.0,personal auto,luxury suv,1390
4767,west,f,college,4605,22571,63,0.0,corporate auto,four-door car,302
4768,east,f,bachelor,3939,60021,99,0.0,corporate auto,four-door car,883
4769,west,f,high school or below,8104,58172,67,0.0,personal auto,four-door car,142
4770,northeast,m,bachelor,4165,58299,105,1.0,personal auto,four-door car,504
4771,northeast,m,college,14065,25275,61,0.0,corporate auto,four-door car,214
4772,northeast,f,college,21992,80807,109,0.0,personal auto,suv,132
4773,central,f,bachelor,7591,52348,65,1.0,personal auto,two-door car,312
4774,east,f,bachelor,8019,58843,68,0.0,corporate auto,two-door car,200
4775,central,f,master,3555,58557,88,0.0,corporate auto,four-door car,56
4776,northeast,f,bachelor,3946,37707,105,0.0,personal auto,suv,933
4777,northeast,m,college,2916,86599,73,0.0,corporate auto,four-door car,350
4778,central,f,master,5555,52984,69,0.0,personal auto,two-door car,168
4779,northeast,f,master,5329,37707,72,0.0,personal auto,four-door car,346
4780,northeast,f,high school or below,5503,37707,72,0.0,corporate auto,four-door car,346
4781,northeast,f,bachelor,7607,47778,96,0.0,personal auto,four-door car,174
4783,northeast,m,high school or below,5971,52018,78,3.0,personal auto,four-door car,374
4784,west,f,bachelor,2248,24910,63,1.0,corporate auto,four-door car,348
4785,central,m,college,10746,39135,91,0.0,personal auto,four-door car,437
4786,northeast,f,college,7224,37707,97,0.0,personal auto,four-door car,466
4787,west,m,high school or below,9384,37707,133,0.0,personal auto,suv,958
4788,northeast,m,high school or below,5709,37707,78,0.0,personal auto,four-door car,410
4789,central,m,bachelor,4984,28726,65,0.0,personal auto,four-door car,468
4790,northeast,m,doctor,13561,37707,122,0.0,special auto,sports car,586
4791,central,f,master,7218,45356,90,0.0,personal auto,four-door car,462
4792,central,m,high school or below,5160,87050,129,0.0,personal auto,suv,619
4793,central,m,bachelor,13115,20705,171,1.0,personal auto,suv,237
4794,west,f,master,29875,52651,94,0.0,personal auto,two-door car,451
4795,northeast,f,master,20237,55270,63,0.0,personal auto,two-door car,302
4797,west,m,college,39561,60500,110,0.0,personal auto,sports car,770
4798,east,f,high school or below,8186,43877,102,0.0,corporate auto,suv,415
4799,central,m,bachelor,4768,37707,72,0.0,corporate auto,four-door car,346
4800,west,m,bachelor,8475,58488,73,2.0,personal auto,four-door car,350
4801,west,f,bachelor,4723,29193,61,3.0,corporate auto,four-door car,293
4803,northeast,f,college,3305,23931,95,0.0,personal auto,four-door car,456
4804,west,m,college,5002,37707,70,0.0,personal auto,four-door car,504
4805,west,m,college,7607,37707,104,0.0,personal auto,suv,638
4806,central,f,bachelor,2803,34628,71,0.0,personal auto,four-door car,133
4807,west,f,high school or below,7455,74089,94,2.0,personal auto,four-door car,649
4808,west,f,high school or below,21767,37707,290,0.0,personal auto,luxury car,1551
4809,northeast,f,college,7317,30493,62,1.0,personal auto,two-door car,108
4810,northeast,m,bachelor,7444,89285,93,0.0,corporate auto,two-door car,244
4811,northeast,f,high school or below,3087,92147,77,2.0,personal auto,four-door car,278
4812,east,f,bachelor,6728,39428,84,2.0,personal auto,two-door car,72
4813,west,m,high school or below,20266,21542,103,0.0,special auto,sports car,494
4814,west,f,college,5265,37707,72,0.0,special auto,four-door car,136
4815,central,m,bachelor,8565,23506,113,0.0,personal auto,four-door car,814
4816,northeast,f,bachelor,8086,70811,100,0.0,personal auto,sports car,142
4817,east,f,bachelor,4706,37707,78,3.0,corporate auto,four-door car,555
4818,northeast,f,bachelor,4274,82214,106,1.0,personal auto,four-door car,239
4819,west,f,high school or below,5909,71401,73,0.0,personal auto,four-door car,287
4820,northeast,f,high school or below,41788,46587,119,2.0,personal auto,four-door car,571
4821,northeast,f,high school or below,10634,80046,132,0.0,personal auto,suv,261
4822,central,f,bachelor,5451,76389,68,0.0,personal auto,four-door car,262
4823,west,m,doctor,7036,77235,87,0.0,personal auto,two-door car,310
4824,central,m,high school or below,8203,38595,74,3.0,personal auto,four-door car,416
4825,central,f,college,8715,37707,118,0.0,personal auto,suv,566
4826,central,f,master,3353,55359,83,0.0,special auto,four-door car,303
4827,central,f,master,5018,79814,62,0.0,personal auto,four-door car,32
4828,central,f,bachelor,2753,75277,70,3.0,corporate auto,two-door car,460
4830,west,f,doctor,4867,20123,63,0.0,personal auto,four-door car,302
4831,central,m,college,3062,88362,78,0.0,personal auto,two-door car,453
4832,northeast,m,bachelor,3545,37707,116,3.0,corporate auto,suv,835
4833,northeast,m,college,3260,52782,85,4.0,personal auto,four-door car,541
4834,west,f,bachelor,5095,37707,137,0.0,personal auto,suv,452
4835,central,f,high school or below,2397,22283,65,0.0,personal auto,four-door car,572
4836,west,m,bachelor,7428,28848,96,0.0,corporate auto,two-door car,451
4837,west,f,doctor,2511,37707,64,0.0,corporate auto,four-door car,437
4838,east,m,high school or below,2638,54378,66,0.0,personal auto,four-door car,317
4839,west,m,high school or below,4969,21827,67,0.0,special auto,four-door car,322
4841,east,f,college,11619,27750,297,1.0,personal auto,luxury car,1426
4842,west,m,high school or below,4763,57135,61,0.0,corporate auto,four-door car,157
4843,west,f,bachelor,4879,58580,61,0.0,personal auto,four-door car,293
4845,east,m,college,9095,37937,116,0.0,personal auto,suv,557
4846,northeast,f,bachelor,5524,70360,69,0.0,personal auto,two-door car,331
4847,northeast,m,college,11836,37707,119,0.0,personal auto,four-door car,857
4848,west,m,bachelor,2588,47509,66,0.0,personal auto,four-door car,93
4849,central,m,master,7177,27071,183,0.0,personal auto,luxury car,878
4850,central,f,high school or below,27890,46546,99,0.0,special auto,four-door car,319
4851,central,m,bachelor,7280,32627,67,4.0,personal auto,four-door car,55
4852,central,m,bachelor,2152,37707,65,0.0,personal auto,two-door car,460
4853,northeast,f,bachelor,4334,37707,116,0.0,personal auto,four-door car,1066
4854,northeast,f,college,8631,37707,122,2.0,personal auto,suv,586
4855,central,f,bachelor,4767,29177,64,2.0,personal auto,four-door car,307
4856,west,m,college,10439,88233,88,0.0,personal auto,four-door car,253
4857,east,f,college,3747,37707,107,0.0,personal auto,suv,550
4858,northeast,m,bachelor,6617,37707,195,0.0,personal auto,luxury suv,1404
4859,west,f,college,3822,79189,95,0.0,corporate auto,two-door car,50
4860,northeast,f,master,2863,41077,71,0.0,personal auto,two-door car,82
4861,central,f,bachelor,9421,47048,118,0.0,personal auto,suv,566
4862,west,m,doctor,8768,45484,111,0.0,corporate auto,four-door car,533
4863,west,m,master,4572,79453,115,0.0,personal auto,suv,242
4864,central,f,college,14514,88753,181,0.0,personal auto,luxury suv,869
4865,east,m,high school or below,2588,37707,74,0.0,personal auto,four-door car,851
4866,central,m,college,6243,73945,78,0.0,personal auto,two-door car,331
4867,east,f,college,2720,14030,72,0.0,personal auto,two-door car,346
4868,northeast,m,bachelor,2719,81799,68,0.0,personal auto,four-door car,326
4869,northeast,f,high school or below,4804,23634,62,0.0,personal auto,two-door car,440
4870,west,m,bachelor,2857,37707,78,0.0,personal auto,four-door car,374
4871,northeast,f,bachelor,5170,56334,65,0.0,corporate auto,two-door car,422
4872,northeast,f,bachelor,4083,23206,107,0.0,personal auto,sports car,514
4873,northeast,m,high school or below,2960,28140,85,0.0,personal auto,four-door car,612
4874,central,f,high school or below,16468,37707,63,0.0,personal auto,four-door car,685
4875,west,m,high school or below,12779,37707,88,0.0,special auto,four-door car,634
4877,northeast,f,bachelor,6241,37707,87,0.0,personal auto,four-door car,712
4878,central,f,doctor,5443,25884,69,3.0,personal auto,four-door car,292
4879,northeast,m,master,3552,11607,96,0.0,corporate auto,four-door car,313
4880,central,m,master,24138,53691,67,0.0,personal auto,four-door car,176
4881,northeast,m,bachelor,15415,89464,194,1.0,personal auto,luxury suv,1067
4882,northeast,f,high school or below,5517,60596,71,4.0,personal auto,four-door car,180
4883,central,m,bachelor,13449,43720,117,1.0,personal auto,suv,562
4884,west,m,high school or below,6689,56980,84,0.0,personal auto,two-door car,599
4885,northeast,f,college,7223,37707,68,0.0,personal auto,four-door car,350
4886,northeast,m,college,4311,37707,67,1.0,personal auto,four-door car,482
4887,central,f,bachelor,4376,63774,111,0.0,personal auto,four-door car,60
4888,northeast,m,high school or below,10507,61650,88,0.0,personal auto,four-door car,117
4889,northeast,m,college,8667,31354,109,0.0,personal auto,suv,528
4890,west,f,doctor,5939,44190,74,0.0,corporate auto,four-door car,11
4891,central,f,bachelor,15277,38183,191,0.0,personal auto,luxury car,981
4892,northeast,m,master,2551,79751,63,0.0,special auto,two-door car,392
